Date,Close,MA50,MA200,Regime
2020-02-25,1677.0,,,NONE
2020-02-26,1666.0,,,NONE
2020-02-27,1624.0,,,NONE
2020-02-28,1566.0,,,NONE
2020-03-02,1581.0,,,NONE
2020-03-03,1561.0,,,NONE
2020-03-04,1557.0,,,NONE
2020-03-05,1576.0,,,NONE
2020-03-06,1525.0,,,NONE
2020-03-09,1439.0,,,NONE
2020-03-10,1459.0,,,NONE
2020-03-11,1435.0,,,NONE
2020-03-12,1377.0,,,NONE
2020-03-13,1306.0,,,NONE
2020-03-16,1275.0,,,NONE
2020-03-17,1316.0,,,NONE
2020-03-18,1328.0,,,NONE
2020-03-19,1340.0,,,NONE
2020-03-23,1354.0,,,NONE
2020-03-24,1382.0,,,NONE
2020-03-25,1475.0,,,NONE
2020-03-26,1456.0,,,NONE
2020-03-27,1508.0,,,NONE
2020-03-30,1510.0,,,NONE
2020-03-31,1473.0,,,NONE
2020-04-01,1415.0,,,NONE
2020-04-02,1397.0,,,NONE
2020-04-03,1396.0,,,NONE
2020-04-06,1448.0,,,NONE
2020-04-07,1475.0,,,NONE
2020-04-08,1499.0,,,NONE
2020-04-09,1486.0,,,NONE
2020-04-10,1503.0,,,NONE
2020-04-13,1473.0,,,NONE
2020-04-14,1503.0,,,NONE
2020-04-15,1508.0,,,NONE
2020-04-16,1494.0,,,NONE
2020-04-17,1513.0,,,NONE
2020-04-20,1505.0,,,NONE
2020-04-21,1487.0,,,NONE
2020-04-22,1474.0,,,NONE
2020-04-23,1495.0,,,NONE
2020-04-24,1492.0,,,NONE
2020-04-27,1517.0,,,NONE
2020-04-28,1522.0,,,NONE
2020-04-30,1533.0,,,NONE
2020-05-01,1502.0,,,NONE
2020-05-07,1500.0,,,NONE
2020-05-08,1529.0,,,NONE
2020-05-11,1553.0,1479.7,,NONE
2020-05-12,1550.0,1477.16,,NONE
2020-05-13,1547.0,1474.78,,NONE
2020-05-14,1519.0,1472.68,,NONE
2020-05-15,1529.0,1471.94,,NONE
2020-05-18,1533.0,1470.98,,NONE
2020-05-19,1559.0,1470.94,,NONE
2020-05-20,1568.0,1471.16,,NONE
2020-05-21,1567.0,1470.98,,NONE
2020-05-22,1550.0,1471.48,,NONE
2020-05-25,1577.0,1474.24,,NONE
2020-05-26,1612.0,1477.3,,NONE
2020-05-27,1626.0,1481.12,,NONE
2020-05-28,1660.0,1486.78,,NONE
2020-05-29,1640.0,1493.46,,NONE
2020-06-01,1646.0,1500.88,,NONE
2020-06-02,1665.0,1507.86,,NONE
2020-06-03,1680.0,1514.9,,NONE
2020-06-04,1685.0,1521.8,,NONE
2020-06-05,1690.0,1528.52,,NONE
2020-06-08,1711.0,1535.1,,NONE
2020-06-09,1711.0,1539.82,,NONE
2020-06-10,1708.0,1544.86,,NONE
2020-06-11,1671.0,1548.12,,NONE
2020-06-12,1645.0,1550.82,,NONE
2020-06-15,1610.0,1553.56,,NONE
2020-06-16,1673.0,1558.72,,NONE
2020-06-17,1665.0,1564.08,,NONE
2020-06-18,1664.0,1569.44,,NONE
2020-06-19,1663.0,1573.74,,NONE
2020-06-22,1660.0,1577.44,,NONE
2020-06-23,1665.0,1580.76,,NONE
2020-06-24,1657.0,1584.18,,NONE
2020-06-25,1640.0,1586.92,,NONE
2020-06-26,1660.0,1590.66,,NONE
2020-06-29,1628.0,1593.16,,NONE
2020-06-30,1632.0,1595.64,,NONE
2020-07-01,1619.0,1598.14,,NONE
2020-07-02,1625.0,1600.38,,NONE
2020-07-03,1633.0,1602.94,,NONE
2020-07-06,1659.0,1606.38,,NONE
2020-07-07,1653.0,1609.96,,NONE
2020-07-08,1638.0,1612.82,,NONE
2020-07-09,1604.0,1615.06,,NONE
2020-07-10,1583.0,1616.38,,NONE
2020-07-13,1621.0,1618.36,,NONE
2020-07-14,1612.0,1619.94,,NONE
2020-07-15,1636.0,1622.62,,NONE
2020-07-16,1627.0,1625.16,,NONE
2020-07-17,1621.0,1627.0,,NONE
2020-07-20,1623.0,1628.4,,NONE
2020-07-21,1631.0,1630.02,,NONE
2020-07-22,1619.0,1631.46,,NONE
2020-07-27,1625.0,1633.58,,NONE
2020-07-28,1617.0,1635.34,,NONE
2020-07-29,1595.0,1636.58,,NONE
2020-07-30,1585.0,1637.1,,NONE
2020-07-31,1542.0,1636.58,,NONE
2020-08-03,1566.0,1636.56,,NONE
2020-08-04,1601.0,1637.58,,NONE
2020-08-05,1600.0,1638.04,,NONE
2020-08-06,1596.0,1637.72,,NONE
2020-08-07,1595.0,1637.1,,NONE
2020-08-11,1635.0,1636.6,,NONE
2020-08-12,1653.0,1636.86,,NONE
2020-08-13,1674.0,1637.42,,NONE
2020-08-14,1671.0,1637.54,,NONE
2020-08-17,1657.0,1637.08,,NONE
2020-08-18,1658.0,1636.54,,NONE
2020-08-19,1662.0,1635.98,,NONE
2020-08-20,1645.0,1634.66,,NONE
2020-08-21,1653.0,1633.5,,NONE
2020-08-24,1656.0,1632.46,,NONE
2020-08-25,1671.0,1632.46,,NONE
2020-08-26,1673.0,1633.02,,NONE
2020-08-27,1662.0,1634.06,,NONE
2020-08-28,1650.0,1633.6,,NONE
2020-08-31,1660.0,1633.5,,NONE
2020-09-01,1663.0,1633.48,,NONE
2020-09-02,1672.0,1633.66,,NONE
2020-09-03,1678.0,1634.02,,NONE
2020-09-04,1664.0,1634.0,,NONE
2020-09-07,1658.0,1634.02,,NONE
2020-09-08,1670.0,1634.62,,NONE
2020-09-09,1651.0,1634.44,,NONE
2020-09-10,1673.0,1635.34,,NONE
2020-09-11,1686.0,1636.42,,NONE
2020-09-14,1699.0,1638.02,,NONE
2020-09-15,1688.0,1639.28,,NONE
2020-09-16,1693.0,1640.48,,NONE
2020-09-17,1687.0,1641.04,,NONE
2020-09-18,1694.0,1641.86,,NONE
2020-09-23,1692.0,1642.94,,NONE
2020-09-24,1676.0,1644.38,,NONE
2020-09-25,1683.0,1646.38,,NONE
2020-09-28,1713.0,1648.22,,NONE
2020-09-29,1723.0,1650.44,,NONE
2020-09-30,1686.0,1651.44,,NONE
2020-10-02,1671.0,1652.32,,NONE
2020-10-05,1699.0,1653.88,,NONE
2020-10-06,1708.0,1655.58,,NONE
2020-10-07,1710.0,1657.16,,NONE
2020-10-08,1719.0,1659.16,,NONE
2020-10-09,1708.0,1660.82,,NONE
2020-10-12,1705.0,1662.58,,NONE
2020-10-13,1710.0,1664.88,,NONE
2020-10-14,1704.0,1667.26,,NONE
2020-10-15,1693.0,1670.28,,NONE
2020-10-16,1678.0,1672.52,,NONE
2020-10-19,1700.0,1674.5,,NONE
2020-10-20,1688.0,1676.26,,NONE
2020-10-21,1699.0,1678.32,,NONE
2020-10-22,1680.0,1680.02,,NONE
2020-10-23,1687.0,1681.06,,NONE
2020-10-26,1680.0,1681.6,,NONE
2020-10-27,1679.0,1681.7,,NONE
2020-10-28,1673.0,1681.74,,NONE
2020-10-29,1675.0,1682.1,,NONE
2020-10-30,1641.0,1681.76,,NONE
2020-11-02,1670.0,1681.92,,NONE
2020-11-04,1690.0,1682.82,,NONE
2020-11-05,1712.0,1684.0,,NONE
2020-11-06,1722.0,1685.32,,NONE
2020-11-09,1745.0,1686.8,,NONE
2020-11-10,1765.0,1688.64,,NONE
2020-11-11,1794.0,1691.28,,NONE
2020-11-12,1792.0,1694.12,,NONE
2020-11-13,1768.0,1696.28,,NONE
2020-11-16,1798.0,1698.98,,NONE
2020-11-17,1801.0,1701.56,,NONE
2020-11-18,1787.0,1703.74,,NONE
2020-11-19,1790.0,1706.26,,NONE
2020-11-20,1792.0,1708.94,,NONE
2020-11-24,1827.0,1712.08,,NONE
2020-11-25,1830.0,1715.66,,NONE
2020-11-26,1848.0,1719.16,,NONE
2020-11-27,1853.0,1722.5,,NONE
2020-11-30,1818.0,1724.88,,NONE
2020-12-01,1835.0,1727.82,,NONE
2020-12-02,1840.0,1730.76,,NONE
2020-12-03,1845.0,1733.92,,NONE
2020-12-04,1844.0,1736.92,,NONE
2020-12-07,1829.0,1739.66,,NONE
2020-12-08,1828.0,1742.7,,NONE
2020-12-09,1849.0,1746.02,,NONE
2020-12-10,1847.0,1748.7,,NONE
2020-12-11,1850.0,1751.24,,NONE
2020-12-14,1861.0,1754.74,,NONE
2020-12-15,1851.0,1758.34,,NONE
2020-12-16,1857.0,1761.5,,NONE
2020-12-17,1862.0,1764.58,1632.065,RANGE
2020-12-18,1863.0,1767.64,1632.995,RANGE
2020-12-21,1858.0,1770.42,1633.955,RANGE
2020-12-22,1828.0,1772.82,1634.975,RANGE
2020-12-23,1834.0,1775.4,1636.315,BULL
2020-12-24,1843.0,1778.06,1637.625,BULL
2020-12-25,1845.0,1780.88,1639.045,BULL
2020-12-28,1856.0,1784.14,1640.54,BULL
2020-12-29,1888.0,1788.34,1642.1,BULL
2020-12-30,1875.0,1791.84,1643.85,BULL
2021-01-04,1864.0,1795.36,1645.975,BULL
2021-01-05,1862.0,1798.62,1647.99,BULL
2021-01-06,1868.0,1802.38,1650.155,BULL
2021-01-07,1900.0,1806.64,1652.77,BULL
2021-01-08,1930.0,1811.64,1655.89,BULL
2021-01-12,1930.0,1816.66,1659.165,BULL
2021-01-13,1937.0,1821.94,1662.27,BULL
2021-01-14,1949.0,1827.42,1665.375,BULL
2021-01-15,1927.0,1833.14,1668.31,BULL
2021-01-18,1919.0,1838.12,1671.135,BULL
2021-01-19,1932.0,1842.96,1673.885,BULL
2021-01-20,1922.0,1847.16,1676.12,BULL
2021-01-21,1933.0,1851.38,1678.505,BULL
2021-01-22,1929.0,1855.06,1680.61,BULL
2021-01-25,1935.0,1858.46,1682.735,BULL
2021-01-26,1924.0,1861.06,1684.99,BULL
2021-01-27,1935.0,1863.92,1687.59,BULL
2021-01-28,1910.0,1866.76,1690.155,BULL
2021-01-29,1878.0,1868.36,1692.565,BULL
2021-02-01,1899.0,1870.32,1694.82,BULL
2021-02-02,1920.0,1872.98,1697.045,BULL
2021-02-03,1948.0,1876.14,1699.29,BULL
2021-02-04,1941.0,1879.12,1701.565,BULL
2021-02-05,1967.0,1881.92,1703.885,BULL
2021-02-08,2001.0,1885.34,1706.525,BULL
2021-02-09,2001.0,1888.4,1709.015,BULL
2021-02-10,2009.0,1891.52,1711.52,BULL
2021-02-12,2010.0,1895.36,1714.1,BULL
2021-02-15,2033.0,1899.32,1716.7,BULL
2021-02-16,2043.0,1903.38,1719.39,BULL
2021-02-17,2037.0,1907.22,1722.14,BULL
2021-02-18,2018.0,1910.7,1724.86,BULL
2021-02-19,2006.0,1914.24,1727.415,BULL
2021-02-22,2014.0,1917.96,1730.025,BULL
2021-02-24,1980.0,1920.58,1732.34,BULL
2021-02-25,2006.0,1923.76,1734.76,BULL
2021-02-26,1939.0,1925.54,1736.79,BULL
2021-03-01,1979.0,1927.9,1739.175,BULL
2021-03-02,1970.0,1930.28,1741.525,BULL
2021-03-03,1982.0,1932.78,1743.79,BULL
2021-03-04,1958.0,1934.7,1745.815,BULL
2021-03-05,1975.0,1936.94,1747.94,BULL
2021-03-08,1970.0,1939.18,1750.055,BULL
2021-03-09,1996.0,1942.54,1752.44,BULL
2021-03-10,1998.0,1945.82,1754.785,BULL
2021-03-11,2005.0,1949.06,1757.145,BULL
2021-03-12,2028.0,1952.72,1759.49,BULL
2021-03-15,2046.0,1956.52,1761.88,BULL
2021-03-16,2058.0,1959.92,1764.335,BULL
