Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA25,MA75,MA200,RSI14,MA50,MA75_slope,MA200_slope,Ret60,High20,PrevHigh,PrevClose,PrevOpen,PrevVolume
2020-02-25,542.0,542.0,528.0,528.0,452.0604553222656,1400.0,,,,,50.0,,,,,,,,,
2020-02-26,528.0,528.0,521.0,521.0,446.0671997070313,2400.0,,,,,50.0,,,,,,542.0,528.0,542.0,1400.0
2020-02-27,525.0,525.0,481.0,483.0,413.5325317382813,5400.0,,,,,50.0,,,,,,528.0,521.0,528.0,2400.0
2020-02-28,475.0,483.0,459.0,483.0,413.5325317382813,3000.0,,,,,50.0,,,,,,525.0,483.0,525.0,5400.0
2020-02-29,475.0,483.0,459.0,483.0,413.5325317382813,3000.0,,,,,50.0,,,,,,483.0,483.0,475.0,3000.0
2020-03-01,475.0,483.0,459.0,483.0,413.5325317382813,3000.0,,,,,50.0,,,,,,483.0,483.0,475.0,3000.0
2020-03-02,483.0,483.0,481.0,483.0,413.5325317382813,1600.0,,,,,50.0,,,,,,483.0,483.0,475.0,3000.0
2020-03-03,490.0,499.0,490.0,498.0,426.3751831054688,1200.0,,,,,50.0,,,,,,483.0,483.0,483.0,1600.0
2020-03-04,516.0,525.0,501.0,510.0,436.6492919921875,4700.0,,,,,50.0,,,,,,499.0,498.0,490.0,1200.0
2020-03-05,500.0,510.0,500.0,500.0,428.0875244140625,5700.0,,,,,50.0,,,,,,525.0,510.0,516.0,4700.0
2020-03-06,499.0,499.0,481.0,481.0,411.8202209472656,5200.0,,,,,50.0,,,,,,510.0,500.0,500.0,5700.0
2020-03-07,499.0,499.0,481.0,481.0,411.8202209472656,5200.0,,,,,50.0,,,,,,499.0,481.0,499.0,5200.0
2020-03-08,499.0,499.0,481.0,481.0,411.8202209472656,5200.0,,,,,50.0,,,,,,499.0,481.0,499.0,5200.0
2020-03-09,483.0,483.0,460.0,460.0,393.8405151367188,5500.0,,,,,50.0,,,,,,499.0,481.0,499.0,5200.0
2020-03-10,460.0,460.0,442.0,442.0,378.4293823242188,1300.0,,,,,19.28571428571428,,,,,,483.0,460.0,483.0,5500.0
2020-03-11,442.0,442.0,442.0,442.0,378.4293823242188,0.0,,,,,20.30075187969925,,,,,,460.0,442.0,460.0,1300.0
2020-03-12,486.0,486.0,481.0,484.0,414.3887023925781,3000.0,,,,,50.36496350364963,,,,,,442.0,442.0,442.0,0.0
2020-03-13,480.0,483.0,472.0,472.0,404.1145935058594,2200.0,,,,,46.30872483221477,,,,,,486.0,484.0,486.0,3000.0
2020-03-14,480.0,483.0,472.0,472.0,404.1145935058594,2200.0,,,,,46.30872483221477,,,,,,483.0,472.0,480.0,2200.0
2020-03-15,480.0,483.0,472.0,472.0,404.1145935058594,2200.0,482.95,,,,46.30872483221477,,,,,528.0,483.0,472.0,480.0,2200.0
2020-03-16,484.0,503.0,481.0,481.0,411.8202209472656,14300.0,480.6,,,,49.36708860759494,,,,,521.0,483.0,472.0,480.0,2200.0
2020-03-17,481.0,500.0,481.0,496.0,424.6628112792969,2400.0,479.35,,,,49.36708860759494,,,,,510.0,503.0,481.0,484.0,14300.0
2020-03-18,483.0,501.0,477.0,498.0,426.3751831054688,5800.0,480.1,,,,45.94594594594594,,,,,510.0,500.0,496.0,481.0,2400.0
2020-03-19,500.0,505.0,473.0,473.0,404.9707946777344,5600.0,479.6,,,,41.71779141104295,,,,,510.0,501.0,498.0,483.0,5800.0
2020-03-20,500.0,505.0,473.0,473.0,404.9707946777344,5600.0,479.1,483.2,,,47.22222222222222,,,,,510.0,505.0,473.0,500.0,5600.0
2020-03-21,500.0,505.0,473.0,473.0,404.9707946777344,5600.0,478.6,481.0,,,47.22222222222222,,,,,510.0,505.0,473.0,500.0,5600.0
2020-03-22,500.0,505.0,473.0,473.0,404.9707946777344,5600.0,478.1,479.08,,,47.22222222222222,,,,,510.0,505.0,473.0,500.0,5600.0
2020-03-23,480.0,500.0,473.0,490.0,419.5257873535156,9800.0,477.7,479.36,,,60.71428571428572,,,,,510.0,505.0,473.0,500.0,5600.0
2020-03-24,490.0,499.0,490.0,495.0,423.8066101074219,4800.0,476.95,479.84,,,70.86614173228347,,,,,500.0,500.0,490.0,480.0,9800.0
2020-03-25,496.0,514.0,496.0,514.0,440.073974609375,1800.0,477.65,481.08,,,74.65753424657534,,,,,514.0,499.0,495.0,490.0,4800.0
2020-03-26,513.0,513.0,513.0,513.0,439.2178039550781,2000.0,479.25,482.28,,,63.80952380952381,,,,,514.0,514.0,514.0,496.0,1800.0
2020-03-27,512.0,512.0,497.0,497.0,425.51898193359375,300.0,480.05,482.84,,,61.46788990825688,,,,,514.0,513.0,513.0,513.0,2000.0
2020-03-28,512.0,512.0,497.0,497.0,425.51898193359375,300.0,480.85,482.8,,,61.46788990825688,,,,,514.0,512.0,497.0,512.0,300.0
2020-03-29,512.0,512.0,497.0,497.0,425.51898193359375,300.0,482.7,482.28,,,61.46788990825688,,,,,514.0,512.0,497.0,512.0,300.0
2020-03-30,490.0,492.0,490.0,490.0,432.5815734863281,1000.0,485.1,481.88,,,54.20560747663552,,,,,514.0,512.0,497.0,512.0,300.0
2020-03-31,490.0,490.0,490.0,490.0,432.5815734863281,0.0,487.5,482.24,,,46.73913043478261,,,,,514.0,492.0,490.0,490.0,1000.0
2020-04-01,490.0,504.0,490.0,493.0,435.2300109863281,5300.0,487.95,482.72,,,47.31182795698925,,,,,514.0,490.0,490.0,490.0,0.0
2020-04-02,499.0,501.0,498.0,500.0,441.4097595214844,4600.0,489.35,483.48,,,68.0,,,,,514.0,504.0,493.0,490.0,5300.0
