Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-09,,,,,,
2020-04-10,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-30,,,,,,
2020-05-01,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-25,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-12,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,3275.0,3375.0,2775.0,2775.0,2669.0341796875,1628600.0
2020-07-17,2865.0,2970.0,2482.5,2725.0,2620.943359375,1318200.0
2020-07-20,2775.0,3225.0,2620.0,3225.0,3101.850341796875,959400.0
2020-07-21,3265.0,3725.0,3255.0,3725.0,3582.75732421875,945600.0
2020-07-22,3715.0,3945.0,3380.0,3870.0,3722.220703125,3189200.0
2020-07-27,3825.0,4450.0,3780.0,4250.0,4087.7099609375,3112400.0
2020-07-28,4400.0,4570.0,3905.0,3970.0,3818.40185546875,2378000.0
2020-07-29,4025.0,4250.0,3825.0,4250.0,4087.7099609375,1052400.0
2020-07-30,4225.0,4420.0,4010.0,4045.0,3890.5380859375,1143600.0
2020-07-31,3970.0,4015.0,3720.0,3750.0,3606.802978515625,419400.0
2020-08-03,3600.0,3815.0,3585.0,3740.0,3597.184814453125,239800.0
2020-08-04,3860.0,3860.0,3505.0,3570.0,3433.67626953125,148400.0
2020-08-05,3595.0,3850.0,3570.0,3815.0,3669.32080078125,183200.0
2020-08-06,3865.0,4275.0,3845.0,4100.0,3943.4375,583000.0
2020-08-07,4175.0,4235.0,4075.0,4120.0,3962.674072265625,362400.0
2020-08-11,4105.0,4105.0,3830.0,4010.0,3856.87451171875,291600.0
2020-08-12,4285.0,4300.0,3855.0,3900.0,3751.074951171875,655200.0
2020-08-13,3975.0,4345.0,3915.0,4320.0,4155.03662109375,610800.0
2020-08-14,4270.0,4420.0,4070.0,4140.0,3981.910888671875,492400.0
2020-08-17,4145.0,4375.0,4020.0,4350.0,4183.890625,316000.0
2020-08-18,4400.0,5065.0,4355.0,4705.0,4525.33447265625,1825000.0
2020-08-19,4755.0,5100.0,4705.0,5100.0,4905.251953125,965800.0
2020-08-20,5150.0,5245.0,4925.0,5050.0,4857.16162109375,727400.0
2020-08-21,4980.0,5135.0,4930.0,5020.0,4828.3076171875,419400.0
2020-08-24,5100.0,5165.0,4955.0,4980.0,4789.833984375,237200.0
2020-08-25,5130.0,5695.0,4985.0,5170.0,4972.57861328125,1186200.0
2020-08-26,5275.0,6065.0,5205.0,6000.0,5770.88427734375,1327400.0
2020-08-27,5905.0,6090.0,5575.0,5905.0,5679.51220703125,686200.0
2020-08-28,6300.0,6645.0,5750.0,5985.0,5756.45703125,1322800.0
2020-08-31,6350.0,6810.0,6205.0,6285.0,6045.001953125,885800.0
2020-09-01,6275.0,6475.0,6165.0,6310.0,6069.04736328125,440000.0
2020-09-02,6300.0,6500.0,6155.0,6165.0,5929.583984375,384600.0
2020-09-03,6300.0,6315.0,5955.0,6140.0,5905.53857421875,211000.0
2020-09-04,5840.0,6140.0,5790.0,5945.0,5717.98486328125,260200.0
2020-09-07,6005.0,6200.0,5835.0,5890.0,5665.0849609375,235600.0
2020-09-08,6015.0,6015.0,5335.0,5780.0,5559.28564453125,301600.0
2020-09-09,5630.0,5730.0,5420.0,5670.0,5453.48583984375,154200.0
2020-09-10,5755.0,5965.0,5655.0,5690.0,5472.72216796875,195000.0
2020-09-11,5720.0,6090.0,5525.0,5920.0,5693.939453125,210000.0
2020-09-14,5830.0,6050.0,5730.0,5865.0,5641.03955078125,147800.0
2020-09-15,5940.0,6350.0,5900.0,6345.0,6102.71044921875,327800.0
2020-09-16,6500.0,6565.0,6170.0,6285.0,6045.001953125,268600.0
2020-09-17,6360.0,6460.0,5950.0,5985.0,5756.45703125,202400.0
2020-09-18,6065.0,6175.0,5745.0,5910.0,5684.3212890625,186200.0
2020-09-23,5935.0,5950.0,5700.0,5800.0,5578.5224609375,117400.0
2020-09-24,5660.0,5700.0,5380.0,5380.0,5174.5595703125,213000.0
2020-09-25,5380.0,5585.0,5215.0,5485.0,5275.55029296875,157200.0
2020-09-28,5600.0,5645.0,5280.0,5375.0,5169.7509765625,101000.0
2020-09-29,5310.0,5605.0,5305.0,5540.0,5348.35107421875,68000.0
2020-09-30,5545.0,5630.0,5470.0,5550.0,5358.0048828125,80000.0
2020-10-02,5550.0,6205.0,5550.0,6005.0,5797.26513671875,341000.0
2020-10-05,6135.0,6455.0,6105.0,6445.0,6222.04443359375,294000.0
2020-10-06,6500.0,6650.0,6310.0,6335.0,6115.84912109375,263600.0
2020-10-07,6485.0,7045.0,6385.0,6870.0,6632.341796875,448000.0
2020-10-08,6875.0,8370.0,6875.0,8365.0,8075.62451171875,1167800.0
2020-10-09,8365.0,10365.0,8365.0,10365.0,10006.4365234375,1251600.0
2020-10-12,10865.0,11350.0,9255.0,10645.0,10276.75,1266400.0
2020-10-13,10395.0,10825.0,9965.0,10025.0,9678.1982421875,248000.0
2020-10-14,9840.0,12525.0,9380.0,12525.0,12091.71484375,976400.0
2020-10-15,12685.0,15025.0,12080.0,14645.0,14138.3759765625,1384000.0
2020-10-16,13145.0,13600.0,12145.0,12145.0,11724.859375,623200.0
2020-10-19,11405.0,11900.0,10385.0,10505.0,10141.59375,482800.0
2020-10-20,10885.0,11985.0,10075.0,10600.0,10233.306640625,637200.0
2020-10-21,10350.0,10495.0,9555.0,9685.0,9349.9609375,328600.0
2020-10-22,9800.0,10035.0,9290.0,9600.0,9267.900390625,144200.0
2020-10-23,9590.0,11140.0,9500.0,10170.0,9818.1826171875,467000.0
2020-10-26,10420.0,11300.0,10340.0,10565.0,10199.517578125,313400.0
2020-10-27,10065.0,10480.0,9955.0,10180.0,9827.8359375,117800.0
2020-10-28,10285.0,10785.0,10075.0,10120.0,9769.912109375,95000.0
2020-10-29,9975.0,10245.0,9650.0,9900.0,9557.5224609375,73400.0
2020-10-30,9750.0,9750.0,9060.0,9100.0,8785.197265625,142200.0
2020-11-02,9000.0,9000.0,8405.0,8660.0,8360.4189453125,139600.0
2020-11-04,8500.0,10265.0,8500.0,9430.0,9103.7822265625,303200.0
2020-11-05,10030.0,10525.0,9805.0,9925.0,9581.6572265625,305200.0
2020-11-06,10730.0,10820.0,10200.0,10470.0,10107.8037109375,315000.0
2020-11-09,10850.0,10850.0,9705.0,9965.0,9620.2734375,356400.0
2020-11-10,9940.0,10005.0,9235.0,9305.0,8983.1064453125,243800.0
2020-11-11,8905.0,9510.0,8900.0,9290.0,8968.625,252600.0
2020-11-12,9750.0,9875.0,8395.0,8965.0,8654.8681640625,543400.0
2020-11-13,8965.0,9440.0,8545.0,8550.0,8254.2236328125,367200.0
2020-11-16,8895.0,8900.0,8345.0,8670.0,8370.072265625,183600.0
2020-11-17,8500.0,8510.0,7800.0,7865.0,7592.92041015625,264600.0
2020-11-18,7865.0,8080.0,7455.0,7585.0,7322.60693359375,193000.0
2020-11-19,7500.0,7800.0,7255.0,7520.0,7259.85595703125,254800.0
2020-11-20,8060.0,9180.0,8060.0,8915.0,8606.59765625,943400.0
2020-11-24,9110.0,9150.0,8405.0,8760.0,8456.9599609375,411800.0
2020-11-25,8750.0,8750.0,8440.0,8440.0,8148.029296875,224800.0
2020-11-26,8340.0,8640.0,8240.0,8245.0,7959.775390625,202000.0
