Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,43.0,46.0,43.0,44.0,44.0,922300.0
2020-02-26,44.0,45.0,43.0,45.0,45.0,362600.0
2020-02-27,44.0,45.0,42.0,42.0,42.0,725300.0
2020-02-28,40.0,41.0,37.0,38.0,38.0,837400.0
2020-03-02,37.0,42.0,37.0,40.0,40.0,555000.0
2020-03-03,42.0,42.0,40.0,40.0,40.0,347100.0
2020-03-04,40.0,41.0,40.0,40.0,40.0,135400.0
2020-03-05,40.0,41.0,39.0,39.0,39.0,153600.0
2020-03-06,40.0,40.0,38.0,38.0,38.0,184300.0
2020-03-09,37.0,38.0,33.0,34.0,34.0,632400.0
2020-03-10,32.0,35.0,31.0,35.0,35.0,637600.0
2020-03-11,34.0,36.0,34.0,34.0,34.0,193800.0
2020-03-12,33.0,34.0,33.0,33.0,33.0,318000.0
2020-03-13,31.0,32.0,29.0,30.0,30.0,875900.0
2020-03-16,32.0,32.0,30.0,30.0,30.0,539800.0
2020-03-17,29.0,31.0,28.0,30.0,30.0,814700.0
2020-03-18,30.0,32.0,30.0,30.0,30.0,384200.0
2020-03-19,31.0,32.0,31.0,31.0,31.0,218700.0
2020-03-23,31.0,31.0,30.0,31.0,31.0,175800.0
2020-03-24,30.0,33.0,30.0,31.0,31.0,332200.0
2020-03-25,32.0,34.0,32.0,34.0,34.0,307900.0
2020-03-26,34.0,34.0,33.0,34.0,34.0,196400.0
2020-03-27,34.0,35.0,33.0,35.0,35.0,387800.0
2020-03-30,35.0,48.0,33.0,35.0,35.0,2475200.0
2020-03-31,36.0,36.0,33.0,34.0,34.0,537300.0
2020-04-01,33.0,34.0,32.0,32.0,32.0,159300.0
2020-04-02,31.0,32.0,30.0,31.0,31.0,400000.0
2020-04-03,33.0,34.0,30.0,32.0,32.0,171200.0
2020-04-06,31.0,32.0,31.0,31.0,31.0,130800.0
2020-04-07,33.0,33.0,31.0,33.0,33.0,263800.0
2020-04-08,33.0,35.0,32.0,35.0,35.0,541900.0
2020-04-09,34.0,35.0,33.0,35.0,35.0,353500.0
2020-04-10,35.0,35.0,34.0,34.0,34.0,70400.0
2020-04-13,35.0,35.0,34.0,35.0,35.0,68000.0
2020-04-14,35.0,35.0,33.0,33.0,33.0,230500.0
2020-04-15,34.0,36.0,33.0,35.0,35.0,432000.0
2020-04-16,35.0,35.0,34.0,35.0,35.0,272200.0
2020-04-17,34.0,36.0,34.0,35.0,35.0,213300.0
2020-04-20,35.0,36.0,35.0,36.0,36.0,213700.0
2020-04-21,35.0,36.0,34.0,35.0,35.0,202300.0
2020-04-22,34.0,35.0,34.0,34.0,34.0,134700.0
2020-04-23,35.0,36.0,34.0,34.0,34.0,81700.0
2020-04-24,34.0,36.0,34.0,34.0,34.0,113200.0
2020-04-27,34.0,37.0,34.0,37.0,37.0,222700.0
2020-04-28,37.0,38.0,36.0,36.0,36.0,327400.0
2020-04-30,37.0,38.0,36.0,36.0,36.0,469800.0
2020-05-01,36.0,37.0,35.0,36.0,36.0,237200.0
2020-05-07,36.0,37.0,36.0,36.0,36.0,230300.0
2020-05-08,37.0,38.0,36.0,38.0,38.0,308500.0
2020-05-11,37.0,39.0,37.0,39.0,39.0,540700.0
2020-05-12,39.0,41.0,38.0,40.0,40.0,717500.0
2020-05-13,39.0,41.0,38.0,39.0,39.0,480300.0
2020-05-14,40.0,41.0,39.0,39.0,39.0,410600.0
2020-05-15,39.0,40.0,39.0,39.0,39.0,122400.0
2020-05-18,39.0,40.0,37.0,37.0,37.0,540800.0
2020-05-19,37.0,39.0,37.0,39.0,39.0,137700.0
2020-05-20,38.0,39.0,38.0,39.0,39.0,128100.0
2020-05-21,38.0,39.0,38.0,38.0,38.0,51100.0
2020-05-22,39.0,41.0,38.0,39.0,39.0,1001300.0
2020-05-25,41.0,43.0,40.0,42.0,42.0,919400.0
2020-05-26,42.0,42.0,39.0,40.0,40.0,928300.0
2020-05-27,40.0,42.0,40.0,42.0,42.0,288700.0
2020-05-28,41.0,42.0,41.0,42.0,42.0,274500.0
2020-05-29,41.0,42.0,40.0,42.0,42.0,212400.0
2020-06-01,42.0,42.0,41.0,42.0,42.0,127500.0
2020-06-02,41.0,42.0,41.0,42.0,42.0,110900.0
2020-06-03,41.0,43.0,41.0,42.0,42.0,214900.0
2020-06-04,43.0,49.0,43.0,45.0,45.0,1654500.0
2020-06-05,44.0,45.0,43.0,44.0,44.0,192600.0
2020-06-08,44.0,48.0,44.0,47.0,47.0,551900.0
2020-06-09,49.0,52.0,48.0,50.0,50.0,1315300.0
2020-06-10,50.0,50.0,46.0,47.0,47.0,961400.0
2020-06-11,48.0,48.0,45.0,45.0,45.0,555200.0
2020-06-12,43.0,47.0,42.0,46.0,46.0,567900.0
2020-06-15,46.0,48.0,43.0,44.0,44.0,577400.0
2020-06-16,45.0,46.0,45.0,46.0,46.0,145400.0
2020-06-17,46.0,46.0,45.0,46.0,46.0,121600.0
2020-06-18,46.0,47.0,45.0,46.0,46.0,270500.0
2020-06-19,46.0,47.0,44.0,45.0,45.0,428500.0
2020-06-22,45.0,45.0,43.0,43.0,43.0,1063300.0
2020-06-23,43.0,49.0,43.0,47.0,47.0,1350200.0
2020-06-24,48.0,49.0,44.0,47.0,47.0,1594400.0
2020-06-25,46.0,48.0,46.0,46.0,46.0,977500.0
2020-06-26,48.0,48.0,44.0,48.0,48.0,1389100.0
2020-06-29,46.0,48.0,46.0,47.0,47.0,160100.0
2020-06-30,47.0,48.0,46.0,48.0,48.0,276200.0
2020-07-01,48.0,49.0,47.0,48.0,48.0,947600.0
2020-07-02,48.0,50.0,47.0,47.0,47.0,603500.0
2020-07-03,47.0,48.0,46.0,47.0,47.0,277300.0
2020-07-06,47.0,48.0,46.0,47.0,47.0,204000.0
2020-07-07,47.0,50.0,46.0,48.0,48.0,1174500.0
2020-07-08,48.0,49.0,47.0,47.0,47.0,242900.0
2020-07-09,47.0,48.0,45.0,46.0,46.0,770800.0
2020-07-10,45.0,46.0,44.0,45.0,45.0,269200.0
2020-07-13,45.0,46.0,44.0,45.0,45.0,268000.0
2020-07-14,46.0,46.0,44.0,46.0,46.0,126000.0
2020-07-15,46.0,46.0,45.0,46.0,46.0,98300.0
2020-07-16,46.0,47.0,45.0,45.0,45.0,220900.0
2020-07-17,46.0,47.0,44.0,45.0,45.0,670500.0
2020-07-20,46.0,53.0,45.0,49.0,49.0,5328500.0
2020-07-21,48.0,49.0,46.0,46.0,46.0,1224000.0
2020-07-22,46.0,47.0,45.0,45.0,45.0,511800.0
2020-07-27,45.0,46.0,45.0,45.0,45.0,364600.0
2020-07-28,46.0,47.0,45.0,47.0,47.0,256100.0
2020-07-29,47.0,47.0,45.0,45.0,45.0,246000.0
2020-07-30,45.0,46.0,45.0,45.0,45.0,368800.0
2020-07-31,45.0,46.0,43.0,44.0,44.0,638900.0
2020-08-03,43.0,46.0,43.0,45.0,45.0,237400.0
2020-08-04,44.0,48.0,44.0,48.0,48.0,563100.0
2020-08-05,47.0,49.0,46.0,48.0,48.0,440100.0
2020-08-06,47.0,48.0,46.0,48.0,48.0,101800.0
2020-08-07,46.0,48.0,46.0,47.0,47.0,155000.0
2020-08-11,46.0,47.0,46.0,47.0,47.0,145900.0
2020-08-12,46.0,48.0,46.0,47.0,47.0,225200.0
2020-08-13,47.0,47.0,46.0,47.0,47.0,399700.0
2020-08-14,47.0,47.0,46.0,47.0,47.0,88300.0
2020-08-17,46.0,47.0,46.0,46.0,46.0,289500.0
2020-08-18,47.0,47.0,45.0,46.0,46.0,281100.0
2020-08-19,45.0,47.0,45.0,47.0,47.0,215300.0
2020-08-20,47.0,47.0,45.0,46.0,46.0,245900.0
2020-08-21,47.0,48.0,46.0,48.0,48.0,626400.0
2020-08-24,48.0,48.0,46.0,47.0,47.0,209600.0
2020-08-25,47.0,47.0,46.0,47.0,47.0,142500.0
2020-08-26,47.0,47.0,46.0,47.0,47.0,87500.0
2020-08-27,46.0,47.0,46.0,47.0,47.0,57400.0
2020-08-28,46.0,47.0,45.0,46.0,46.0,321800.0
2020-08-31,45.0,47.0,45.0,47.0,47.0,145400.0
2020-09-01,47.0,47.0,45.0,47.0,47.0,182000.0
2020-09-02,47.0,47.0,45.0,46.0,46.0,127600.0
2020-09-03,46.0,46.0,45.0,45.0,45.0,89400.0
2020-09-04,45.0,47.0,45.0,45.0,45.0,198700.0
2020-09-07,47.0,47.0,45.0,45.0,45.0,111300.0
2020-09-08,45.0,47.0,45.0,47.0,47.0,136800.0
2020-09-09,47.0,47.0,46.0,47.0,47.0,167500.0
2020-09-10,47.0,47.0,45.0,46.0,46.0,98100.0
2020-09-11,47.0,47.0,45.0,47.0,47.0,246200.0
2020-09-14,47.0,48.0,46.0,48.0,48.0,327200.0
2020-09-15,47.0,48.0,46.0,47.0,47.0,79200.0
2020-09-16,46.0,48.0,46.0,48.0,48.0,266100.0
2020-09-17,48.0,48.0,46.0,46.0,46.0,167400.0
2020-09-18,47.0,47.0,46.0,47.0,47.0,81800.0
2020-09-23,47.0,47.0,45.0,46.0,46.0,236100.0
2020-09-24,45.0,47.0,45.0,47.0,47.0,204500.0
2020-09-25,47.0,47.0,45.0,46.0,46.0,495100.0
2020-09-28,45.0,46.0,45.0,46.0,46.0,184300.0
2020-09-29,46.0,47.0,45.0,45.0,45.0,178500.0
2020-09-30,46.0,47.0,45.0,47.0,47.0,362300.0
2020-10-02,46.0,47.0,45.0,45.0,45.0,313100.0
2020-10-05,47.0,51.0,45.0,46.0,46.0,1794700.0
2020-10-06,45.0,47.0,45.0,47.0,47.0,147900.0
2020-10-07,47.0,47.0,46.0,47.0,47.0,34300.0
2020-10-08,47.0,47.0,46.0,47.0,47.0,53300.0
2020-10-09,46.0,47.0,46.0,46.0,46.0,41600.0
2020-10-12,46.0,47.0,46.0,46.0,46.0,104800.0
2020-10-13,47.0,47.0,46.0,46.0,46.0,49300.0
2020-10-14,46.0,47.0,46.0,46.0,46.0,74000.0
2020-10-15,47.0,47.0,45.0,47.0,47.0,320900.0
2020-10-16,46.0,47.0,45.0,46.0,46.0,90700.0
2020-10-19,46.0,46.0,45.0,46.0,46.0,51800.0
2020-10-20,45.0,46.0,45.0,45.0,45.0,31700.0
2020-10-21,46.0,46.0,45.0,46.0,46.0,30000.0
2020-10-22,46.0,46.0,45.0,45.0,45.0,114800.0
2020-10-23,45.0,46.0,45.0,46.0,46.0,58900.0
2020-10-26,46.0,46.0,45.0,46.0,46.0,61200.0
2020-10-27,46.0,46.0,44.0,45.0,45.0,265200.0
2020-10-28,44.0,45.0,44.0,45.0,45.0,148200.0
2020-10-29,44.0,45.0,43.0,45.0,45.0,318700.0
2020-10-30,45.0,45.0,44.0,45.0,45.0,77100.0
2020-11-02,44.0,45.0,44.0,45.0,45.0,52300.0
2020-11-04,45.0,46.0,44.0,46.0,46.0,43800.0
2020-11-05,46.0,46.0,45.0,46.0,46.0,55100.0
2020-11-06,46.0,46.0,45.0,46.0,46.0,70400.0
2020-11-09,45.0,46.0,45.0,46.0,46.0,70200.0
2020-11-10,46.0,46.0,45.0,46.0,46.0,93900.0
2020-11-11,46.0,46.0,45.0,46.0,46.0,80100.0
2020-11-12,46.0,47.0,46.0,47.0,47.0,133100.0
2020-11-13,46.0,47.0,43.0,45.0,45.0,511200.0
2020-11-16,45.0,46.0,44.0,44.0,44.0,337600.0
2020-11-17,44.0,45.0,42.0,44.0,44.0,748800.0
2020-11-18,45.0,46.0,44.0,46.0,46.0,201200.0
2020-11-19,45.0,46.0,45.0,46.0,46.0,127200.0
2020-11-20,45.0,46.0,45.0,46.0,46.0,73300.0
2020-11-24,46.0,46.0,45.0,45.0,45.0,87900.0
2020-11-25,44.0,45.0,44.0,45.0,45.0,111100.0
2020-11-26,45.0,45.0,44.0,45.0,45.0,62200.0
